car_id,brand,year,mileage,fuel_type,transmission,engine_size,previous_owners,warranty_months,condition_score,price
1,toyota,2020,25000,petrol,automatic,1.8,1,12,8.5,22500
2,honda,2019,35000,petrol,manual,1.5,1,6,8.0,18900
3,bmw,2021,15000,diesel,automatic,2.0,1,24,9.2,38500
4,ford,2018,48000,petrol,manual,1.6,2,0,7.2,14200
5,mercedes,2022,8000,diesel,automatic,2.5,1,36,9.8,52000
6,toyota,2017,62000,petrol,automatic,2.0,2,0,6.8,13500
7,honda,2020,28000,hybrid,automatic,1.5,1,18,8.8,24500
8,audi,2021,18000,diesel,automatic,2.0,1,30,9.0,42000
9,nissan,2019,42000,petrol,manual,1.6,1,3,7.5,15800
10,volkswagen,2020,32000,diesel,automatic,1.9,1,12,8.2,21500
11,toyota,2018,55000,petrol,automatic,1.8,2,0,7.0,15200
12,bmw,2022,12000,petrol,automatic,3.0,1,36,9.5,55000
13,ford,2019,38000,diesel,manual,2.0,1,6,7.8,16900
14,mercedes,2021,20000,diesel,automatic,2.2,1,24,9.3,48500
15,honda,2017,68000,petrol,manual,1.5,2,0,6.5,11800
16,audi,2020,25000,diesel,automatic,2.0,1,18,8.6,36500
17,nissan,2018,51000,petrol,automatic,1.8,2,0,7.1,13900
18,volkswagen,2021,15000,diesel,automatic,2.0,1,30,9.1,28500
19,toyota,2019,41000,hybrid,automatic,1.8,1,9,7.9,19800
20,bmw,2020,22000,diesel,automatic,2.5,1,15,8.9,44000
21,ford,2017,72000,petrol,manual,1.6,3,0,6.2,10500
22,mercedes,2022,6000,petrol,automatic,3.0,1,36,9.9,62000
23,honda,2018,58000,petrol,automatic,1.6,2,0,6.9,1400
24,audi,2021,16000,diesel,automatic,2.5,1,27,9.2,46500
25,nissan,2020,30000,petrol,automatic,1.6,1,12,8.1,17200
26,volkswagen,2019,45000,diesel,manual,1.9,1,3,7.4,18900
27,toyota,2021,19000,hybrid,automatic,1.8,1,21,8.9,26500
28,bmw,2019,33000,petrol,automatic,2.0,1,9,8.3,35500
29,ford,2020,36000,diesel,automatic,2.0,1,12,7.9,19500
30,mercedes,2021,14000,diesel,automatic,2.2,1,27,9.4,51000
31,honda,2019,39000,petrol,manual,1.5,1,6,7.7,17400
32,audi,2022,10000,petrol,automatic,2.0,1,36,9.6,49000
33,nissan,2017,65000,petrol,manual,1.6,2,0,6.6,12100
34,volkswagen,2020,27000,diesel,automatic,2.0,1,15,8.4,23800
35,toyota,2018,52000,petrol,automatic,1.8,2,0,7.2,14800
36,bmw,2021,17000,diesel,automatic,2.5,1,24,9.1,47500
37,ford,2019,44000,petrol,manual,1.6,1,3,7.6,15600
38,mercedes,2022,7000,diesel,automatic,3.0,1,36,9.8,58000
39,honda,2020,31000,hybrid,automatic,1.5,1,15,8.5,23200
40,audi,2020,24000,diesel,automatic,2.0,1,18,8.7,38900
41,nissan,2018,56000,petrol,automatic,1.8,2,0,6.9,13200
42,volkswagen,2021,18000,diesel,automatic,1.9,1,27,8.9,26900
43,toyota,2019,46000,petrol,automatic,2.0,1,6,7.6,17900
44,bmw,2022,11000,petrol,automatic,3.0,1,36,9.7,57000
45,ford,2018,61000,diesel,manual,2.0,2,0,6.8,12800
46,mercedes,2021,16000,diesel,automatic,2.5,1,27,9.2,49500
47,honda,2017,70000,petrol,manual,1.5,3,0,6.4,10900
48,audi,2021,19000,diesel,automatic,2.5,1,24,9.0,45000
49,nissan,2020,34000,petrol,automatic,1.6,1,12,8.0,16500
50,volkswagen,2019,40000,diesel,automatic,2.0,1,9,7.8,20200
